gender,first_name,last_name,weight,NHS_number,DOB,house_number,street,city,postcode,synchronous_tumour_indicator,pathology_investigation_type,lesion_size,number_of_lesions,outcome
Male,Derrick,Vaughn,82,804 2146 2858,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,0.003771321,0,0.231896935,4,0
Non-binary,Silvia,Ortega,50,086 6807 3365,5/14/1967,1.0,ABBOTS DRIVE,BALLASALLA,IM9 3EB,0.176933841,0,0.842831434,11,0
Female,Debora,Hinton,44,319 3852 9497,11/21/1998,1.0,DRAKE ROAD,LEE ON THE SOLENT,PO139NS,0.252221076,1,0.15547576300000002,26,0
Male,Carey,Ferrell,87,961 1996 8138,9/6/1966,8.0,MERSEY ROAD,LIVERPOOL,L23 3AG,3.3066933069999997,0,0.308557152,4,1
Male,Kareem,Fuentes,69,890 0917 8878,8/23/1981,1.0,CLOS TYNIAD GLO,BARRY,CF634QQ,0.08485239900000001,0,122.0,2,0
Male,Aubrey,Myers,57,645 4704 3495,7/7/1963,2.0,BRIDGE STREET,CEMAES BAY,LL670NN,0.21774704,0,0.11304552400000001,24,0
Female,Denise,Swanson,56,877 9060 4188,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.019327203,0,2394.0,10,0
Female,Amber,Warner,58,405 9523 2621,8/13/1962,1.0,MORFA MAWR,LLANBEDR,LL452EQ,0.019420597,0,18.0,4,0
Female,Gracie,Mosley,48,353 5981 7293,3/31/1966,1.0,ABERDEEN TERRACE,LONDON SE3,SE3 0QX,0.0,0,183.0,4,0
Non-binary,Antonia,Kinney,42,942 8094 6103,9/11/1994,1.0,WOODSIDE,ISLE OF GIGHA,PA417AD,0.001542846,0,4612.0,19,0
Female,Gilda,Dillon,52,861 8996 4528,2/3/1988,1.0,BAY VIEW TERRACE,CAERNARVON,LL545PS,0.060789134,0,595.0,6,0
Female,Kelly,Spence,40,476 8212 2271,8/13/1962,1.0,MORFA MAWR,LLANBEDR,LL452EQ,0.030070406,0,0.29988319,19,0
Non-binary,James,Cain,48,097 6781 7143,12/17/1977,1.0,ANDREW TERRACE,ABERTILLERY,NP132JL,0.073406665,0,107.0,3,0
Female,Lawanda,Whitehead,42,509 4442 6144,7/29/1982,3.0,ABERY STREET,LONDON SE18,SE181DB,0.0,0,118.0,4,0
Non-binary,Chadwick,Walton,61,063 9021 4225,5/14/1967,1.0,ABBOTS DRIVE,BALLASALLA,IM9 3EB,0.26812050600000004,0,0.313717598,14,0
Non-binary,Kitty,Mathis,57,601 9229 0959,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.361527694,0,688.0,2,0
Female,Katina,Wynn,44,657 8747 5097,10/9/1988,1.0,ABERGELDIE ROAD,LONDON SE12,SE128BH,0.027263495,2,0.149180109,6,0
Female,Patsy,Koch,49,473 3112 0839,7/29/1982,3.0,ABERY STREET,LONDON SE18,SE181DB,0.017445428,0,448.0,5,0
Male,Bernardo,Austin,64,443 0857 0560,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,0.053695667999999995,0,0.172952114,9,0
,,,56,620 0804 1118,8/18/1968,15.0,ARGYLE PLACE,LONDON W6,W6  0RQ,0.31438952,0,0.424909446,11,0
Male,Christopher,Peters,63,638 0566 4581,12/17/1977,1.0,ANDREW TERRACE,ABERTILLERY,NP132JL,0.14489021400000002,0,0.201493048,9,0
Female,Maria,Chavez,42,421 1317 3679,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,0.9999998999999999,0,0.651370413,10,0
Male,Damon,Hunt,56,615 6236 6190,12/18/1985,1.0,CRAIGIE AVENUE,BOAT OF GARTEN,PH243BL,0.9999998999999999,0,0.008883953,6,0
Female,Joanna,Poole,52,469 5462 4043,7/29/1982,3.0,ABERY STREET,LONDON SE18,SE181DB,0.670534986,0,0.367733333,13,0
Non-binary,Berta,Irwin,40,577 4082 9156,7/7/1963,2.0,BRIDGE STREET,CEMAES BAY,LL670NN,0.667144294,0,0.561685824,14,0
,,,58,677 2295 9755,8/13/1962,1.0,MORFA MAWR,LLANBEDR,LL452EQ,0.012504837,0,0.36825269899999996,13,0
Male,Sterling,Patel,59,535 8077 5112,1/10/1954,1.0,ABINGER GARDENS,ISLEWORTH,TW7 6LG,0.870283962,0,0.463192101,8,0
Female,Tessa,Pace,55,177 9316 7070,8/23/1981,1.0,CLOS TYNIAD GLO,BARRY,CF634QQ,0.0,0,0.483712354,6,0
Non-binary,Rebekah,Hull,49,547 1423 4666,10/20/1996,2.0,AVILS HILL,KILBIRNIE,KA256BN,0.01300294,0,10571.0,15,1
Female,Mercedes,Glass,52,290 6738 7988,7/26/1963,1.0,BELLE VUE,LLANFECHAIN,SY226UN,0.9999998999999999,1,135.0,1,0
Female,Yvette,Rivers,50,805 2383 8977,4/6/1982,3.0,ARLECDON PARKS ROAD,FRIZINGTON,CA263XG,0.78553633,1,0.308998125,19,0
Female,Bonita,Dixon,49,956 3785 4757,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,0.031473022,0,0.667732907,10,0
Female,Ebony,Eaton,45,036 7674 4986,6/14/1991,2.0,AKEMAN COURT,CIRENCESTER,GL7 1LL,0.0,0,0.21666666699999998,9,0
Male,Earl,Gilbert,53,602 2332 7785,5/14/1961,1.0,OSBORNE COURT,PRESTONPANS,EH320JS,0.517424615,0,0.629422719,9,0
Female,Reyna,Mccoy,42,277 2347 5183,10/9/1988,1.0,ABERGELDIE ROAD,LONDON SE12,SE128BH,0.01459927,0,0.0035398229999999997,3,0
Female,Noreen,Bray,41,438 3661 5693,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.7582417579999999,3,0.192207369,14,0
Female,Jayne,Coleman,41,046 8973 8528,4/19/1965,,ALBION ROAD,CHRISTCHURCH,BH232JG,0.362768317,0,0.10814864199999999,5,0
Female,Kristy,Jordan,47,996 1568 9058,9/11/1994,1.0,WOODSIDE,ISLE OF GIGHA,PA417AD,0.008916295,0,6.0,2,0
Male,Fritz,Gross,57,458 5840 5556,5/28/1995,3.0,ADDISON ROAD,HOVE,BN3 1TN,0.051826773,0,0.46766351700000003,11,0
Male,Irvin,Witt,60,438 1154 2679,9/2/1965,1.0,ABBERLEY DRIVE,DROITWICH,WR9 8NY,0.014968016,0,0.40193816299999996,10,0
Male,Vernon,Bass,79,310 6029 1596,9/11/1994,1.0,WOODSIDE,ISLE OF GIGHA,PA417AD,0.075176098,0,4644.0,22,0
Female,Lavonne,Carney,41,525 8266 2193,6/14/1991,2.0,AKEMAN COURT,CIRENCESTER,GL7 1LL,0.9999998999999999,0,0.0,0,0
Male,Christian,Morrison,65,373 5230 3637,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.06276121700000001,0,0.866538646,13,0
Non-binary,Kim,England,50,313 9278 1664,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.9999998999999999,1,0.201776024,1,0
Female,Luisa,Mcintyre,42,157 8709 9692,9/2/1965,1.0,ABBERLEY DRIVE,DROITWICH,WR9 8NY,0.040077494,0,2512.0,6,0
,,,84,688 0615 5366,4/6/1982,3.0,ARLECDON PARKS ROAD,FRIZINGTON,CA263XG,0.52505486,0,0.5353775829999999,14,0
Female,Estella,Potter,58,847 9212 4004,5/25/1962,,BETCHWORTH LODGE,BETCHWORTH,RH3 7BW,0.0,1,0.279902512,12,0
Male,Ernesto,Moreno,85,638 7659 0408,9/5/1988,,ALBERT COURT,BOSTON,PE218NU,0.027317986000000002,0,0.013900245,3,0
Female,Joanna,Rodriquez,54,756 7438 2141,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,2.0986077990000003,0,0.25293676600000004,9,0
Female,Angelique,Guy,44,739 4294 3292,12/18/1985,1.0,CRAIGIE AVENUE,BOAT OF GARTEN,PH243BL,0.004872203,0,0.043993232,3,0
Female,Hazel,Case,43,657 9354 8870,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.0024702979999999997,0,1.753948039,14,0
Female,Genevieve,Bradshaw,51,530 5159 3097,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.059894011,0,0.117243744,6,0
Male,Nelson,Wilkins,67,738 6570 6187,5/25/1969,15.0,BLINKBONNY ROAD,CURRIE,EH146AE,0.723706738,1,1.273654917,11,0
,,,67,893 9051 9560,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.0,0,0.266242617,8,0
,,,43,889 7146 0596,1/10/1954,1.0,ABINGER GARDENS,ISLEWORTH,TW7 6LG,0.378990948,0,0.372881356,10,0
Female,Taylor,Barlow,58,822 5367 9001,1/25/1980,1.0,CHILTON COURT,FOLKESTONE,CT201NR,0.7502205820000001,1,0.309785158,8,0
Non-binary,Kimberly,Summers,41,350 6832 1103,5/14/1961,1.0,OSBORNE COURT,PRESTONPANS,EH320JS,0.363587416,0,0.307935208,11,0
,,,52,536 1566 3156,7/7/1963,2.0,BRIDGE STREET,CEMAES BAY,LL670NN,0.589271314,0,4423.0,13,0
Female,Kristi,Monroe,40,111 9854 8832,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,1.0019996,0,0.01071352,2,0
Female,Lidia,Rojas,41,040 0671 0453,4/17/1959,1.0,BEVERLEY CLOSE,LONDON SW13,SW130EH,0.16966067899999998,1,0.270665953,3,0
,,,47,594 0675 1335,9/2/1965,1.0,ABBERLEY DRIVE,DROITWICH,WR9 8NY,0.092429972,0,0.168332667,9,0
Female,Nichole,Lloyd,45,952 2087 8269,11/21/1998,1.0,DRAKE ROAD,LEE ON THE SOLENT,PO139NS,0.08865635300000001,0,0.5303674079999999,14,0
Female,Adrienne,Puckett,47,794 7476 0236,5/10/1964,1.0,ARDFARNAL,CRAIGHOUSE,PA607XZ,0.525475906,1,0.205695328,6,0
Non-binary,Shannon,Snow,53,232 4936 1034,1/7/1982,1.0,APPIN PLACE,ABERFELDY,PH152AH,0.01470778,0,0.139825218,3,0
Male,Dwayne,Kim,55,335 3868 8051,5/14/1961,1.0,OSBORNE COURT,PRESTONPANS,EH320JS,0.9980241440000001,1,0.8784668720000001,11,0
,,,59,163 6223 4703,8/18/1968,15.0,ARGYLE PLACE,LONDON W6,W6  0RQ,0.9999998999999999,0,0.004470939,1,1
Male,Forest,Moss,59,347 3097 1282,9/6/1966,8.0,MERSEY ROAD,LIVERPOOL,L23 3AG,0.283740887,0,0.42171466399999996,9,0
,,,69,661 1646 0802,1/8/1969,1.0,HILL STREET,ISLE OF LEWIS,HS2 0NG,0.0,0,0.0,2,0
Female,Brandy,Carr,50,166 1799 4943,7/26/1963,1.0,BELLE VUE,LLANFECHAIN,SY226UN,0.9999998999999999,0,34.0,1,0
Female,Ester,Houston,59,912 0897 3154,12/18/1985,1.0,CRAIGIE AVENUE,BOAT OF GARTEN,PH243BL,0.7505385609999999,1,0.287632105,13,1
Non-binary,Lorrie,Sears,53,955 0200 7252,9/2/1965,1.0,ABBERLEY DRIVE,DROITWICH,WR9 8NY,0.17389792199999998,0,0.02665482,1,0
,,,58,862 0377 3079,5/14/1961,1.0,OSBORNE COURT,PRESTONPANS,EH320JS,0.9224429129999999,0,0.12798031099999999,8,0
,,,86,583 4642 5983,7/29/1982,3.0,ABERY STREET,LONDON SE18,SE181DB,0.417228353,1,737.0,6,0
Male,Doug,Small,66,248 1235 4617,7/26/1963,1.0,BELLE VUE,LLANFECHAIN,SY226UN,0.182560635,0,600.0,19,0
Female,Adele,Scott,49,354 4701 5039,5/28/1995,3.0,ADDISON ROAD,HOVE,BN3 1TN,0.017220024,0,0.0016561129999999999,7,0
Female,Tameka,Atkinson,46,420 7973 8386,5/14/1967,1.0,ABBOTS DRIVE,BALLASALLA,IM9 3EB,0.080132115,0,0.319806178,9,0
Female,Louisa,Nelson,53,129 5695 0589,10/9/1988,1.0,ABERGELDIE ROAD,LONDON SE12,SE128BH,0.950110515,1,0.713898065,9,0
Female,Deann,Mccormick,60,123 6709 7137,7/29/1982,3.0,ABERY STREET,LONDON SE18,SE181DB,0.032597827,0,0.440528634,17,0
Female,Shawna,Buck,44,716 3739 3783,9/13/1980,,BLACK WYCHEND,BROMYARD,HR7 4JG,0.8995400309999999,0,0.11020036400000001,5,0
Female,Joyce,Hooper,45,873 4913 5033,5/28/1995,3.0,ADDISON ROAD,HOVE,BN3 1TN,0.9999998999999999,0,0.05545943,0,1
Female,Gena,Bradley,56,207 4451 8557,1/25/1980,1.0,CHILTON COURT,FOLKESTONE,CT201NR,0.177835553,0,0.048162653,10,0
Male,Earnest,Kirk,57,377 5518 0556,1/10/1954,1.0,ABINGER GARDENS,ISLEWORTH,TW7 6LG,0.518713921,0,0.311804009,11,0
Female,Kristina,Ware,44,566 5708 3126,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.055273618,0,69.0,5,0
Male,Joaquin,Bentley,58,810 1949 0999,1/25/1980,1.0,CHILTON COURT,FOLKESTONE,CT201NR,0.790868597,0,0.21605933600000002,3,0
Female,Maxine,Moran,57,948 2519 9796,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.421555952,0,0.662473984,17,0
Non-binary,May,Hodge,56,820 7655 1533,8/23/1981,1.0,CLOS TYNIAD GLO,BARRY,CF634QQ,0.9421574079999999,0,0.55629612,12,0
Male,Jerrold,Sweet,77,472 0514 1390,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.158499397,0,0.012759474,4,0
Male,Willie,Gibson,61,970 4949 5311,1/25/1980,1.0,CHILTON COURT,FOLKESTONE,CT201NR,0.502386286,0,0.7823634970000001,11,0
,,,60,843 5117 6994,5/25/1962,,BETCHWORTH LODGE,BETCHWORTH,RH3 7BW,0.718735472,0,0.26451364899999996,5,1
Female,Colleen,Bray,57,923 7494 8728,7/20/1989,1.0,ALLINGHAM COURT,GODALMING,GU7 3AW,0.361746093,0,0.6526349610000001,13,0
,,,68,030 9326 0120,5/14/1967,1.0,ABBOTS DRIVE,BALLASALLA,IM9 3EB,0.145074822,0,0.30885352899999996,9,0
Female,Ava,Kane,40,935 4140 2251,9/13/1980,,BLACK WYCHEND,BROMYARD,HR7 4JG,0.8622754490000001,1,12.0,1,0
Female,Caitlin,Mann,48,288 6857 8169,7/14/1969,,ACHANDUNIE,ALNESS,IV170YB,0.016056258,0,0.7371079770000001,12,0
Female,Stella,Guy,50,821 6565 7531,4/6/1982,3.0,ARLECDON PARKS ROAD,FRIZINGTON,CA263XG,0.005636415,0,0.0070077080000000005,28,0
,,,54,586 5024 0836,9/2/1965,1.0,ABBERLEY DRIVE,DROITWICH,WR9 8NY,0.12034384,0,1451.0,8,0
Female,Frieda,Hebert,44,651 8744 1031,8/13/1962,1.0,MORFA MAWR,LLANBEDR,LL452EQ,0.0044999440000000005,0,0.001538225,5,0
Male,Olin,Case,78,782 6630 7690,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.14645656,0,0.319924773,16,0
Female,Coleen,Morris,48,823 8761 7698,9/6/1966,8.0,MERSEY ROAD,LIVERPOOL,L23 3AG,0.0,0,0.0,2,0
Male,Roderick,Perry,81,279 0461 4611,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.133921643,0,594.0,6,0
Male,Hubert,Zimmerman,59,560 3922 6359,10/9/1988,1.0,ABERGELDIE ROAD,LONDON SE12,SE128BH,0.0,0,0.233989267,2,0
Female,Becky,Bolton,40,298 6575 3242,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.07963395,0,0.022279349,2,0
Male,Valentin,Montoya,81,119 2271 2939,5/25/1969,15.0,BLINKBONNY ROAD,CURRIE,EH146AE,0.550564936,0,1.13304253,8,0
,,,55,438 3896 1613,12/18/1985,1.0,CRAIGIE AVENUE,BOAT OF GARTEN,PH243BL,0.343197672,0,0.503642337,10,0
,,,55,433 4843 5155,8/24/1983,1.0,ABBEYFIELD HOUSE,COWES,PO318HA,0.007999866999999999,0,0.551879971,7,0
Non-binary,Terence,Giles,54,025 9070 7343,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.344106236,0,0.375924815,3,0
,,,48,431 8407 9223,5/28/1995,3.0,ADDISON ROAD,HOVE,BN3 1TN,0.003996004,1,0.175941353,3,0
Non-binary,Haley,Maddox,48,079 2567 4269,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.115616614,0,2967.0,9,0
Non-binary,Cornell,Daniel,90,750 6386 2373,2/3/1988,1.0,BAY VIEW TERRACE,CAERNARVON,LL545PS,0.042067103,0,0.35466415700000004,6,0
Female,Bobbie,Singleton,46,795 4139 4129,9/13/1980,,BLACK WYCHEND,BROMYARD,HR7 4JG,0.44562416200000005,0,1903.0,11,0
Female,Liliana,Donovan,41,665 3973 9146,12/30/1937,1.0,ADMIRAL COURT,LONDON NW4,NW4 4QD,0.9999998999999999,0,439.0,1,0
Female,Vivian,Burnett,46,201 9732 0001,5/25/1969,15.0,BLINKBONNY ROAD,CURRIE,EH146AE,0.29882995,0,0.7704862290000001,8,0
Male,Mauricio,Potts,90,271 3634 8339,8/18/1968,15.0,ARGYLE PLACE,LONDON W6,W6  0RQ,0.021402881000000002,0,43.0,17,0
Female,Rae,Peck,43,931 8136 3050,6/14/1991,2.0,AKEMAN COURT,CIRENCESTER,GL7 1LL,0.144650778,1,0.504148054,12,0
Female,Monique,Deleon,50,115 4600 2277,3/31/1966,1.0,ABERDEEN TERRACE,LONDON SE3,SE3 0QX,0.6350272370000001,0,0.298623734,7,0
Male,Miguel,Finley,67,264 1639 1249,5/10/1964,1.0,ARDFARNAL,CRAIGHOUSE,PA607XZ,0.622076551,0,0.461916015,5,0
Male,Rico,Mayo,67,470 1462 3972,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.03357949,0,0.127797834,12,0
Female,Catalina,Guthrie,57,399 8683 0411,9/6/1966,8.0,MERSEY ROAD,LIVERPOOL,L23 3AG,0.425149701,0,0.0055452869999999994,1,0
Female,Sheri,Whitley,45,981 8613 9806,11/21/1998,1.0,DRAKE ROAD,LEE ON THE SOLENT,PO139NS,0.544446464,0,0.880108992,8,0
Female,Lynn,Pena,40,388 2917 2520,5/14/1967,1.0,ABBOTS DRIVE,BALLASALLA,IM9 3EB,0.0,0,0.075395217,7,0
Female,Olive,Livingston,55,263 3312 3708,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.648785583,0,0.240317776,6,0
Female,Kimberley,Jacobson,52,033 2568 1256,12/18/1985,1.0,CRAIGIE AVENUE,BOAT OF GARTEN,PH243BL,0.15349147300000002,0,0.21550530699999998,6,0
Male,Courtney,Barnes,58,880 6351 3850,4/6/1982,3.0,ARLECDON PARKS ROAD,FRIZINGTON,CA263XG,0.606064081,0,0.105585922,5,0
Male,Jackson,Bass,50,758 0587 8443,7/29/1982,3.0,ABERY STREET,LONDON SE18,SE181DB,0.9999998999999999,0,0.375423588,5,1
Female,Charmaine,Hawkins,50,969 4297 7121,5/10/1964,1.0,ARDFARNAL,CRAIGHOUSE,PA607XZ,0.08512798,0,0.307475854,5,0
Male,Genaro,Stafford,77,024 0297 5247,8/14/1994,33.0,ARGYLE STREET,LOSSIEMOUTH,IV316AP,0.0007610480000000001,0,0.000249938,5,0
Male,Lamont,Woods,59,807 0383 0539,1/25/1980,1.0,CHILTON COURT,FOLKESTONE,CT201NR,0.032336822,0,36.0,4,0
Female,Melanie,Zimmerman,58,651 3700 6622,10/9/1988,1.0,ABERGELDIE ROAD,LONDON SE12,SE128BH,0.0,0,0.0,8,0
Female,Wanda,Lester,54,666 2708 7587,1/8/1969,1.0,HILL STREET,ISLE OF LEWIS,HS2 0NG,0.46790641899999996,1,0.47171743,3,0
,,,83,070 9415 7146,5/14/1961,1.0,OSBORNE COURT,PRESTONPANS,EH320JS,0.0,0,0.432205424,7,0
Male,Craig,Roberts,67,975 2804 4105,5/28/1995,3.0,ADDISON ROAD,HOVE,BN3 1TN,0.401644877,0,1047.0,8,0
Male,Max,Barrera,66,580 6000 5368,10/10/1966,6013.0,ALMA ROAD,COLNE,BB87JJ,0.512509752,1,0.10016,12,0
,,,59,800 9909 9246,12/17/1977,1.0,ANDREW TERRACE,ABERTILLERY,NP132JL,0.021422867,1,0.204079592,8,0
Male,Norris,Mack,73,150 5688 0257,5/25/1969,15.0,BLINKBONNY ROAD,CURRIE,EH146AE,0.18144269300000002,1,0.30215827300000003,12,0
Male,Duncan,Chen,69,637 6988 3366,2/3/1988,1.0,BAY VIEW TERRACE,CAERNARVON,LL545PS,0.0063561469999999995,0,0.00193382,4,0
Female,Faye,Mercer,49,655 2323 1782,3/18/1995,1.0,BALBIRNIE AVENUE,GLENROTHES,KY7 6BS,0.130992723,0,0.004184851,1,0
Male,Carmelo,Scott,61,420 8253 7334,9/5/1988,,ALBERT COURT,BOSTON,PE218NU,0.880329955,1,0.512255742,17,0
Female,Claudine,Black,45,861 6319 4463,1/7/1982,1.0,APPIN PLACE,ABERFELDY,PH152AH,0.58629232,3,0.292596249,3,0
,,,90,951 0161 1101,4/3/1961,1.0,BIRCH PARK,COLEFORD,GL167RU,0.219794505,0,0.22125182,6,0
Female,Elvira,Byrd,54,859 1697 3947,12/30/1937,1.0,ADMIRAL COURT,LONDON NW4,NW4 4QD,0.012761601000000001,0,0.058706336,9,0
,,,58,197 3018 1263,7/26/1963,1.0,BELLE VUE,LLANFECHAIN,SY226UN,0.024954523,0,0.015769626000000002,12,0
Female,Liz,Barry,46,171 8378 1273,1/25/1980,1.0,CHILTON COURT,FOLKESTONE,CT201NR,0.0,0,0.467616852,8,0
,,,45,586 0550 1179,4/19/1965,,ALBION ROAD,CHRISTCHURCH,BH232JG,0.015998222,0,0.558312655,9,0
Female,Celina,Huffman,59,638 7473 0188,1/7/1982,1.0,APPIN PLACE,ABERFELDY,PH152AH,0.822967109,0,1225.0,4,0
Female,Kathryn,Sargent,49,065 5790 5736,3/24/2001,1.0,ANNIVERSARY MEWS,INGATESTONE,CM4 0NQ,0.634478851,0,0.626101322,4,0
Female,Ava,Romero,40,321 4804 5612,10/20/1996,2.0,AVILS HILL,KILBIRNIE,KA256BN,0.053427045,0,0.017736214,3,0
,,,68,915 5086 7808,8/13/1962,1.0,MORFA MAWR,LLANBEDR,LL452EQ,0.095163495,0,0.239076092,4,0
